ProductID,URL,Title,Selling Price,MRP,Discount,Rating,Category
B09C5KK7CH,https://www.amazon.in/dp/B09C5KK7CH?th=1&psc=1&language=en_IN,ToyTastic Magnetic Educational Chess Board Set with Folding Chess Board 2 Plyaers Travel Toys for Kids and Adults (10 Inch) (Black Color),299,"M.R.P.:
₹1,599",-81%,4.1 out of 5,Toys & Games
B0DHRMV3JC,https://www.amazon.in/dp/B0DHRMV3JC?th=1&psc=1&language=en_IN,"Best Toy Creation Poke Cards for Kids, 40 Pcs Playing Card 10 G,10Silver,10 Black & 10 Rainbow 40-Piece Set All Rare Series Set Real V Max GX Special High HP (G+Silver+Black+Rainbow, Total 40 Cards)",299,"M.R.P.:
₹998",-70%,4.6 out of 5,Toys & Games
B0D3Z89JJ4,https://www.amazon.in/dp/B0D3Z89JJ4?th=1&psc=1&language=en_IN,"Niku Dazzling Dolls for Girls | Doll with Moveable Arms, Legs, Elbow & Knee for Girls (Doll with Accessoires) | Best Birthday Gift Toy",249,"M.R.P.:
₹269",-7%,3.5 out of 5,Toys & Games
B0D8LLM37K,https://www.amazon.in/dp/B0D8LLM37K?th=1&psc=1&language=en_IN,DWH Wireless video games for tv gaming Retro gaming console with Game Stick 1080p Plug & Play TV Video Game Set for 2 player with 9Emulator for Kids & Old School Station Video Game,"1,590","M.R.P.:
₹4,999",-68%,3.8 out of 5,Toys & Games
B0F8885Y36,https://www.amazon.in/dp/B0F8885Y36?th=1&psc=1&language=en_IN,"dRoNe wItH hD DuAl cAmErA BrUsHlEsS MoToR, oNe cLiCk tAkEoFf/lAnDiNg FlIp rOlLiNg gEsTuRe cOnTrOl wI-Fi cAmErA ReMoTe cOnTrOl dRoNe wItH FoLlOw mE FuNcTiOn",N/A,N/A,N/A,N/A,Beauty
B0DZX52L3L,https://www.amazon.in/dp/B0DZX52L3L?th=1&psc=1&language=en_IN,SNAPTRON Return Gifts For Kids-60Pcs Return Gift For Kids Birthday 10 sets each| Return Gifts For Kids Age 4 5 6 7 8|Birthday Return Gifts For Kids Girls Boys| Best Combo Gift Items for kids,"1,299","M.R.P.:
₹2,299",-43%,2.5 out of 5,Toys & Games
B01JAAGVA8,https://www.amazon.in/dp/B01JAAGVA8?th=1&psc=1&language=en_IN,"Ratna's Business JR. Coins 5 in 1 Board Game Set | Includes Games Like Business, Snake and Ladders, Ludo, Car Rally, and Cricket | Perfect for Kids & Adults 2-4 Players",179,"M.R.P.:
₹235",-24%,4.1 out of 5,Toys & Games
B09JYYB1RP,https://www.amazon.in/dp/B09JYYB1RP?th=1&psc=1&language=en_IN,"Nerf Alpha Strike Wolf LR-1 Blaster with Targeting Scope, 12 Nerf Darts, Toys for Kids Teens and Adults, Fun Gift Toy for Boys, Birthday Gift Toy for Kids Ages 8+",649,"M.R.P.:
₹999",-35%,4.2 out of 5,Toys & Games
B0DRS9S4DN,https://www.amazon.in/dp/B0DRS9S4DN?th=1&psc=1&language=en_IN,Classic Retro Handheld Console with Gamepad - 3.5In HD Screen Video Game for Kids | for Age 8-10 | Return Gifts for Birthday Party | Video Game for TV | USB Rechargeable (Assorted Colour),"1,234","M.R.P.:
₹2,619",-53%,3.4 out of 5,Toys & Games
B0F223S22H,https://www.amazon.in/dp/B0F223S22H?th=1&psc=1&language=en_IN,"MOROVIK Press to Go Car Toys for Toddlers 1-3, Baby Animal Racing Cars, Infant Play Vehicle Set, Baby Push Go Friction Toys for 6-9-12-18 Months,1-2 Years Old Boys (Animal Car Set of 1)",284,"M.R.P.:
₹649",-56%,4.2 out of 5,Toys & Games
B00NHQFA1I,https://www.amazon.in/dp/B00NHQFA1I?th=1&psc=1&language=en_IN,LEGO Classic Medium Creative Brick Box 10696 Building Blocks Toys,"2,743","M.R.P.:
₹3,499",-22%,4.6 out of 5,Toys & Games
