ProductID,URL,Title,Selling Price,MRP,Discount,Rating,Category
B001L8PIFW,https://www.amazon.in/dp/B001L8PIFW?th=1&psc=1&language=en_IN,Fender Guitar Amp Frontman 10G 2311004900,"6,838","M.R.P.:
₹8,448",-19%,4 out of 5,Musical Instruments
B0B4DPX2J2,https://www.amazon.in/dp/B0B4DPX2J2?th=1&psc=1&language=en_IN,"Audio Array AM-C1 USB Condenser Microphone Kit | 192kHz/24bit | BoomArm, Pop Filter, Mic Cover, Shock Mount, Tripod & 2.5M USB Cable | Podcasting, Gaming, Singing & Live Streaming","2,699","M.R.P.:
₹4,999",-46%,4.4 out of 5,Musical Instruments
B0CKC15B1V,https://www.amazon.in/dp/B0CKC15B1V?th=1&psc=1&language=en_IN,Roland OCTAPAD SPD-20 PRO Black Digital Percussion Pad,"57,930","M.R.P.:
₹67,053",-14%,4.4 out of 5,Musical Instruments
B08G1NYPLF,https://www.amazon.in/dp/B08G1NYPLF?th=1&psc=1&language=en_IN,"Kadence Concert Ukulele 23"", Cinnamon Brown colour, fluorocarbon strings, matt finish with strap and bag (Spring Summer Collection of Ukuleles)","1,999","M.R.P.:
₹3,999",-50%,4.4 out of 5,Musical Instruments
B0BLJVJ2GN,https://www.amazon.in/dp/B0BLJVJ2GN?th=1&psc=1&language=en_IN,"Audio Array AA-05 Suspension Boom Scissor Microphone Arm Stand | Universal clamp with mic Holder & 3/8″ to 5/8″ Adapter for Shock mounts | Suitable for Stages, Studios, Broadcasting, TV Stations.",689,"M.R.P.:
₹1,999",-66%,4.2 out of 5,Musical Instruments
B07BG523CL,https://www.amazon.in/dp/B07BG523CL?th=1&psc=1&language=en_IN,"Fresh Drumstick (Moringa), 250g Pack",N/A,N/A,N/A,4.1 out of 5,Grocery & Gourmet Foods
B07MZPR5GP,https://www.amazon.in/dp/B07MZPR5GP?th=1&psc=1&language=en_IN,Zoom G1X Four Multi-effects Processor with Expression Pedal without adapter (Black),"9,780","M.R.P.:
₹11,425",-14%,4.4 out of 5,Musical Instruments
B0BZK4CPNM,https://www.amazon.in/dp/B0BZK4CPNM?th=1&psc=1&language=en_IN,"Hercules DJ Inpulse 200, 2 DJ Controller, Black (4780940)","8,172","M.R.P.:
₹13,590",-40%,4.3 out of 5,Musical Instruments
B0725Y8LX8,https://www.amazon.in/dp/B0725Y8LX8?th=1&psc=1&language=en_IN,JTS TK-600 Cardioid Dynamic Microphone Without Cable.,"2,299","M.R.P.:
₹3,500",-34%,4.1 out of 5,Musical Instruments
B0F6V6PSVX,https://www.amazon.in/dp/B0F6V6PSVX?th=1&psc=1&language=en_IN,Noise Cancellation Clip Collar Mic Condenser for YouTube Video | Interviews | Lectures Travel Videos Mic for Mobile (with Handsfree Pouch),99,"M.R.P.:
₹599",-83%,N/A,Musical Instruments
B0B8DF9H2R,https://www.amazon.in/dp/B0B8DF9H2R?th=1&psc=1&language=en_IN,"Digitek® (DWM 101 Wireless Microphone System with ANC Noise Reduction, 360° Sound Capture, 100M Range, Upto 12 Hrs Working Time, for DSLR Camera, Android & iOS Smartphones, Seamless Audio Recording","4,349","M.R.P.:
₹6,995",-38%,3.6 out of 5,Musical Instruments
B07DDN6TP6,https://www.amazon.in/dp/B07DDN6TP6?th=1&psc=1&language=en_IN,"M-Audio Keystation 49 MK3 - Synth Action 49 Key USB MIDI Keyboard Controller with Assignable Controls, Pitch and Mod Wheels, and Software Included","10,999","M.R.P.:
₹13,499",-19%,4.3 out of 5,Musical Instruments
B0DXFPM4N2,https://www.amazon.in/dp/B0DXFPM4N2?th=1&psc=1&language=en_IN,"Audio Array AM-S1 Professional 4"" Studio Monitor Speaker Pair | 60W Class D Amplification, Woven Composite Woofer, 1"" Silk-Dome Tweeter, EQ Controls | Music/Monitor Mode, Aux, HDMI, USB C, TRS, RCA","7,999","M.R.P.:
₹12,999",-38%,4 out of 5,Musical Instruments
B08K43SPQ1,https://www.amazon.in/dp/B08K43SPQ1?th=1&psc=1&language=en_IN,"JUAREZ JAP60 Guitar Plectrums Pick Set of Various Thickness, 6 Pieces (Celluloid + ABS), Colours Random",129,"M.R.P.:
₹290",-56%,4.4 out of 5,Musical Instruments
B0783RJGX6,https://www.amazon.in/dp/B0783RJGX6?th=1&psc=1&language=en_IN,"Studiomaster Studio Master Air 6U (6 Channel Mixer) With USB Option, Bluetooth And Remote, black, Medium","13,944","M.R.P.:
₹17,220",-19%,4.1 out of 5,Musical Instruments
B09ZV35B24,https://www.amazon.in/dp/B09ZV35B24?th=1&psc=1&language=en_IN,"Cezo BM 800 Condenser Microphone Kit Set with V8 Sound Card, Boom Arm Stand, Pop Shield Recording Studio Equipment Full Set with 3.5mm Mic for Smartphones Live Streaming Youtubers - Black","2,999","M.R.P.:
₹4,999",-40%,4 out of 5,Musical Instruments
B017NPCSLI,https://www.amazon.in/dp/B017NPCSLI?th=1&psc=1&language=en_IN,"Juârez Acoustic Guitar Kit, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black","2,179","M.R.P.:
₹6,990",-69%,4 out of 5,Musical Instruments
B0BZK4CPNM,https://www.amazon.in/dp/B0BZK4CPNM?th=1&psc=1&language=en_IN,"Hercules DJ Inpulse 200, 2 DJ Controller, Black (4780940)","8,172","M.R.P.:
₹13,590",-40%,4.3 out of 5,Musical Instruments
B0DVT5BNRX,https://www.amazon.in/dp/B0DVT5BNRX?th=1&psc=1&language=en_IN,"Kadence C41 39"" Classical Guitar - 6 Nylon Strings Right Handed - Rose Wood","5,997","M.R.P.:
₹8,999",-33%,5 out of 5,Musical Instruments
B0B8DF9H2R,https://www.amazon.in/dp/B0B8DF9H2R?th=1&psc=1&language=en_IN,"Digitek® (DWM 101 Wireless Microphone System with ANC Noise Reduction, 360° Sound Capture, 100M Range, Upto 12 Hrs Working Time, for DSLR Camera, Android & iOS Smartphones, Seamless Audio Recording","4,349","M.R.P.:
₹6,995",-38%,3.6 out of 5,Musical Instruments
B0DQD8HWWG,https://www.amazon.in/dp/B0DQD8HWWG?th=1&psc=1&language=en_IN,"GRENARO Mic for YouTube Wireless, 3-Level Adjustable Noise Reduction Mic Wireless, Wireless Microphone for Youtubers with LED Indicator Light (Single Channel Type-C Port Version)",849,"M.R.P.:
₹1,999",-58%,4 out of 5,Musical Instruments
B09P3YQQLK,https://www.amazon.in/dp/B09P3YQQLK?th=1&psc=1&language=en_IN,"Givson Venus Special Cutaway Rosewood 41 Inch Acoustic Guitar Kit with Bag, Rhythm String Set, Strap and 5 Plectrums, (sunbrust)",N/A,N/A,N/A,2.9 out of 5,Musical Instruments
