product_title,rating(),rating_count,selling_price,MRP,dicountvalue,discount
"VOLTAS beko 173 Litres 3 Star Direct Cool Single Door Refrigerator with Reciprocating Compressor (RDC205C / S0PBE0M0, Peony Blue ",4,1,11500,23990,12490,52% Off
"SAMSUNG Stylish Grande 223 Litres3 Star Direct Cool Single Door Refrigerator with Base Stand Drawer (RR24C2Z23CR/NL, Camellia Purple ",2,4,19590,24999,5409,22% Off
,AC,,,,,
"DAIKIN Premium Series 1.5 Ton 3 Star Inverter Split Smart AC with Dew Clean Technology (Copper Condenser, ATKL50UV16V/U/V3 ",4,59,37490,58400,20910,36% Off
"VOLTAS 163V Vectra Pearl 4 in 1 Convertible 1.3 Ton 3 Star Inverter Split AC with Anti Dust Filter ( Copper Condenser, 4503543 ",3.4,45,30990,60636,29646,49% Off
"DAIKIN Premium Series 1 Ton 3 Star Inverter Split Smart AC with Dew Clean Technology (Copper Condenser, ATKL35UV16W ",3.9,28,32990,48200,15210,32% Off
"Blue Star Y Series 5 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Self Diagnosis (Copper Condenser, ID318YKU ",3.9,15,35990,61250,25260,41% Off
"Godrej 5 in 1 Convertible 2 Ton 3 Star Inverter Split AC with Dust Filter (Copper Condenser, SIC 24ITC3WWA ",4.8,5,42290,60990,18700,31% Off
"Daikin Standard Series 0.8 Ton 3 Star Split AC (Copper Condenser, PM 2.5 Filter, FTL28U ",3.9,8,26490,37400,10910,29% Off
"Blue Star Y Series 5 in 1 Convertible 1.2 Ton 3 Star Inverter Split AC with Turbo Cool (Copper Condenser, IC315YNU ",3.3,4,33990,57500,23510,41% Off
"LLOYD 5 in 1 Convertible 1.2 Ton 3 Star Inverter Split AC with Antibacteria Filter (Copper Condenser, GLS15I3FWSEV ",3.4,43,32990,54990,22000,40% Off
"Blue Star M Series 5 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with 4Way Swing (Copper Condenser, IC318MNU ",4.5,30,36490,63500,27010,43% Off
"Blue Star Y Series 5 in 1 Convertible 1.5 Ton 4 Star Inverter Split AC with Dust Filter (Copper Condenser, ID418YNU ",5,2,41900,69500,27600,40% Off
"Croma 1 Ton 2 Star Split AC (Copper Condenser, Dust Filter ",1,1,28990,40000,11010,28% Off
"Blue Star YNUS 5 in 1 Convertible 1.5 Ton 3 Star Inverter Split Smart AC with Turbo Cool (Copper Condenser, IC318YNUS ",5,4,37490,64250,26760,42% Off
"Carrier Ester Neo Plus Exi 6 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Auto Cleanser (Copper Condenser, CAI18ER3R34F0 ",3.2,11,34990,67790,32800,48% Off
"Croma 1.5 Ton 2 Star Split AC (Copper Condenser, Dust Filter ",3,1,32990,48000,15010,31% Off
"VOLTAS 185V Vectra Elite 4 in 1 Convertible 1.5 Ton 5 Star Inverter Split AC with Anti Dust Filter (Copper Condenser, 4503453 ",3.9,35,41990,75990,34000,45% Off
"Panasonic NU 7 in 1 Convertible 1.5 Ton 3 Star Inverter Split Smart AC with AI Mode ( Copper Condenser, CS/CUNU18YKY5W ",2.6,5,40990,63400,22410,35% Off
"VOLTAS 183V Vectra Platina 4 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Anti Microbial Air FIlteration (Copper Condenser, 4503448 ",3.1,45,33990,63990,30000,47% Off
"VOLTAS Vectra 4 in 1 Convertible 1.5 Ton 5 Star Inverter Split AC with AntiDust Filter (Copper Condenser, 185V Vectra Pearl Marvel ",2,1,40890,75990,35100,46% Off
"DAIKIN Standard Series 1 Ton 3 Star Split AC (Copper Condenser, PM 2.5 Filter, FTL35UV ",4.7,9,32990,46000,13010,28% Off
"Carrier Ester Pro Exi 6 in 1 Convertible 1.5 Ton 5 Star Inverter Split AC with Auto Cleanser (Copper Condenser, CAI18ES5R34F1 ",3.1,7,40990,76090,35100,46% Off
"LG 6 in 1 Convertible 1.5 Ton 5 Star Dual Inverter Split AC with 6 Step Fan Speed (2025 Model, Copper Condenser, USQ19HNZE.ANLG ",5,6,44990,81990,37000,45% Off
"LG 6 in 1 Convertible 1.5 Ton 3 Star Dual Inverter Split AC with 6 Step Fan Speed (2025 Model, Copper Condenser, USQ18RNXE.AMLG ",5,1,35990,78990,43000,54% Off
"LG 6 in 1 Convertible 1 Ton 5 Star Dual Inverter Split AC with 6 Step Fan Speed (2025 Model, Copper Condenser, USQ14ANZE.AMLG ",2.6,5,40290,75990,35700,47% Off
"LG 6 in 1 Convertible 2 Ton 3 Star Dual Inverter Split AC with 4 Way Swing (2025 Model, Copper Condenser, USQ24ENXE.ANLG ",4,1,55490,95990,40500,42% Off
